Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary,,,,,,,,,,,,,
"Spencer v. Commonwealth (High Court of Australia, 2010); (Federal Court 2015)",Australia,AUS,Australia,[2010] HCA 28,Mitigation,<div>Appeal of dismissal of challenge to statute restricting clearing of native vegetation on private property</div>,,Native Vegetation Act 2003 (NSW)|,"Environment, LULUCF",Peter Spencer|individual,Commonwealth of Australia|government,,25/12/2010|Case opened,"<div>The appellant challenged two state laws that prohibited him from clearing native vegetation on his property, arguing that the prohibition amounted to an unjust acquisition of his property interests, including his interests in carbon sequestration. The Federal Court of Australia summarily dismissed the appeal, finding that the appellant had no reasonable prospect of success because the laws did not effect or authorize the acquisition of the appellant's property. On appeal, the Full Court upheld the dismissal. The appellant appealed again to the High Court of Australia, which found that the proceeding should not have been dismissed because the possibility remained that the laws are invalid due to the informal arrangement between the State and the Commonwealth. The Federal Court rejected Spencer's claim in 2015, after holding a full trial and concluding that there was no ""informal agreement"" between New South Wales and the Commonwealth and that the laws prohibiting Spencer from clearing native vegetation did not thereby effect an ""acquisition"" of his property. Spencer has appealed.</div>",,,,,,,,,,,,,
"Peter Gray & Naomi Hodgson v. Macquarie Generation (Land and Environment Court of New South Wales, 2010)",Australia,AUS,Australia,[2010] NSWLEC 34,Mitigation,Suit against power station for emission of carbon dioxide under its license,,Protection of the Environment Operations Act 1997|,Energy,Peter Gray & Naomi Hodgson|individual,Macquarie Generation|corporation,,25/12/2010|Case opened,"Environmental activists brought suit against a state-owned power company, seeking a declaratory judgment that one of their power stations had been emitting carbon dioxide into the atmosphere in a manner that has harmed or is likely to harm the environment in contravention of § 115(1) of the Protection of the Environment Operations Act 1997. Defendant Macquarie Generation's motion for summary dismissal was denied on March 22, 2010, although Justice Pain did dismiss the applicant's case in part. The court found that even if Defendant has an implied authority to emit some amount of carbon dioxide in generating electricity under its license, that authority is limited to an amount which has reasonable regard and care for people and the environment. 


Macquarie appealed the court's finding that it was subject to implied CO2 emissions limits.  The implicit conditions were based on common law principles that require prevention of emissions in excess of levels that could be achieved by exercising ""reasonable regard and care for the interests of others and the environment."" The court of appeals reversed the lower court's decision, reasoning that these common law principles only protected private rights (such as a nuisance claim) and were not applicable to a permit granted under a statute.",,,,,,,,,,,,,
"Able Lott Holdings Pty. Ltd. v. City of Fremantle (Western Australia State Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] WASAT 117,Adaptation,Challenge to approve development of site despite potential flooding,,Western Australian State Coastal Planning Policy|,"Coastal zones, Disaster Risk Management (Drm)",Able Lott Holding Pty Ltd|corporation,City of Fremantle|government,,25/12/2010|Case opened,"This case concerned a development application for retrospective approval of partially completed alterations and additions to an historic warehouse building. One of the principal issues related to potential flooding and the decision is the first to apply the State Coastal Planning Policy anticipating a 0.38 meter increase in sea level due to climate change. The Tribunal determined that the development application warranted conditional approval. With respect to potential flooding, the Tribunal found that the level of the water table over the lifetime of the development, including anticipated increase in the water table due to sea level rise by 2100, would not compromise the structural stability of the building or cause water ingress. Thus, the proposal did not warrant refusal because of potential for flooding. The development application was approved subject to 40 conditions including conditions to ensure that the development is carried out in a manner that is appropriate having regard to heritage and amenity considerations.",,,,,,,,,,,,,
"Aldous v. Greater Taree City Council and Another (Land and Environment Court of New South Wales, 2009)",Australia,AUS,Australia,[2009] NCWELC 17,Adaptation,<div>Challenge to city council decision granting development on beachfront property</div>,,,Coastal zones,Adrian Aldous|individual,Greater Taree City Council|government,Australian Equity Investment Pty Ltd.|corporation,,25/12/2009|Case opened,"<div>An Australian court upheld approval of a development application by a city council for a dwelling on a beachfront property. Applicant land owner argued, inter alia, that the Council had failed to take into account the principles of ecologically sustainable development (ESD), specifically the principles of intergenerational equity and the precautionary principles by failing to assess climate change induced coastal erosion. The Council was in the process of conducting a coastal impact study, but made its decision prior to the completion of the study. The court concluded that the Council had a mandatory obligation under the Environmental Planning and Assessment Act 1979 to take into consideration the public interest, which included the principles of ESD, but in the present case, the defendant had considered the issue of coastal erosion.</div>",,,,,,,,,,,,
"Anvil Hill Project Watch Association v. Minister for the Environment and Water Resources (Federal Court of Australia, 2008)",Australia,AUS,Australia,[2008] FCAFC 3,Mitigation,<div>Challenge to government approval of an of an open coal mine</div>,,,Energy,Anvil Hill Project Watch Association|ngo,Minister for the Environment and Water Resources|government,,25/12/2008|Case opened,"<div>Under section 75(1) of the Environmental Protection and Biodiversity Conservation Act, the Commonwealth Minister is to assess if a proposed action is a ""controlled action."" The Anvil Hill Project Watch Association challenged the decision by the Minister that the proposed construction of an open coal mine was not a ""controlled action."" The court ruled that section 75(1) did not require an objective factual determination by the Minister of whether an action is considered a ""controlled action"" or not.</div>",,,,,,,,,,,,,
Australian Competition & Consumer Commission v. De Longhi Australia Pty. Ltd. (2008),Australia,AUS,Australia,[no citation available],Mitigation,Challenge to corporation for false green advertising,,Trade Practices Act 1974|,Other,Australian Competition and Consumer Commission|government,De Longhi Australia Pty Ltd|corporation,,25/12/2008|Case opened,"The Australian Competition and Consumer Commission challenged De Longhi Australia Pty Ltd for falsely claiming that the refrigerant gas R290 used in its portable air conditioners was ""environmentally friendly.""  De Longhi provided a court-enforceable undertaking that it would modify its advertising to avoid unqualified claims.",,,,,,,,,,,,,
"Australian Competition & Consumer Commission v. Global Green Plan Ltd. (Federal Court of Australia, 2010)",Australia,AUS,Australia,[2010] FCA 1057,Mitigation,<div>Suit against corporation for misusing funds appropriated for renewable energy investment</div>,,Trade Practices Act 1974|,Energy,Australian Competition and Consumer Commission|government,Global Green Plan Ltd|corporation,,25/12/2010|Case opened,"<div>Global Green Plan Ltd was paid by customers to purchase renewable energy certificates (RECs). In December 2009, Global Green Plan acknowledged that it had not been using the money provided to it to purchase RECs, and pledged that it would make up the 4,137 missing RECs by March 2010. When it failed to do so, the Australian Competition and Consumer Commission instituted proceedings in the Federal Court. On September 29, 2010, the Federal Court declared that Global Green Plan had failed to meet its pledge and that it had breached the Trade Practices Act 1974.</div>",,,,,,,,,,,,,
"Australian Competition & Consumer Commission v. GM Holden Ltd (Federal Court of Australia, 2008)",Australia,AUS,Australia,[2008] FCA 1428,Mitigation,<div>Suit against corporation for false green advertising</div>,,Trade Practices Act 1974|,Other,Australian Competition and Consumer Commission|government,GM Holden Ltd|corporation,,25/12/2008|Case opened,"<div>The Australian Competition and Consumer Commission (ACCC) filed a suit against GM Holden Ltd for wrongly advertising that Saab vehicles provided ""carbon neutral motoring."" GM Holden had claimed that Saab would plant 17 native trees for every Saab vehicle purchased to offset the carbon emissions. ACCC filed its claim on the basis that GM Holden had not shown any change in the way it manufactured Saab vehicles subsequent to its carbon neutral campaign and that GM Holden's claim that 17 native trees would offset the carbon emissions was not proven and was misleading. The Federal Court declared that GM Holden had breached sections 52 and 53(c) of the Trade Practices Act 1974. GM Holden agreed to advise its marketing staff to avoid ""misleading and deceptive"" marketing tactics and to plant 12,500 native trees to offset all the carbon emissions that would occur by Saab vehicles sold during the marketing campaign.</div>",,,,,,,,,,,,,
Australian Competition & Consumer Commission v. Goodyear Tyres (2008),Australia,AUS,Australia,[no citation available],Mitigation,Challenge to corporation for false green advertising,,Trade Practices Act 1974|,Other,Australian Competition and Consumer Commission|government,Goodyear Tyres|corporation,,25/12/2008|Case opened,"The Australian Competition and Consumer Commission (ACCC) challenged Goodyear Tyres for falsely labeling its LS200 tyres as ""environmentally-friendly"" because its production process emitted less carbon dioxide and its new BioTRED technology increased the life of the tyre and improved fuel economy.  ACCC charged that Goodyear Tyres was misleading consumers about the environmental benefits of its tyres, breaching sections 52 and 53(c) of the Trade Practices Act 1974.  Goodyear Tyres gave a court-enforceable undertaking that it would halt its false advertising and partially compensate all customers who had relied on it during 2007 and 2008.",,,,,,,,,,,,,
"Australian Competition & Consumer Commission v. Prime Carbon Pty. Ltd. (Federal Court of Australia, 2010)",Australia,AUS,Australia,[no citation available],Mitigation,<div>Suit against corporation for false green advertising</div>,,Trade Practices Act 1974|,Other,Australian Competition and Consumer Commission|government,Prime Carbon Pty Ltd|corporation,,25/12/2010|Case opened,"<div>The Australian Competition and Consumer Commission challenged Prime Carbon Pty Ltd, a company that sells carbon credits, for falsely claiming that it was certified by the National Stock Exchange of Australia and that the National Environment Registry, a company through which Prime Carbon supplied some of its credits, was regulated by the Australian Government. The Federal Court ruled that Prime Carbon had misrepresented its services and affiliations, violating section 53 of the Trade Practices Act 1974. Prime Carbon was ordered to publicize the court's orders to its customers and Kenneth Bellamy, the sole director of the company, was ordered to undergo compliance training.</div>",,,,,,,,,,,,,
Australian Competition & Consumer Commission v. V8 Supercars Australia Pty. Ltd. (2008),Australia,AUS,Australia,[no citation available],Mitigation,Challenge to corporation for false green advertising,,Trade Practices Act 1974|,Other,Australian Competition and Consumer Commission|government,V8 Supercars Australia Pty Ltd|corporation,,25/12/2008|Case opened,"The Australian Competition and Consumer Commission (ACCC) challenged V8 Supercars Australia Pty Ltd for being misleading in its Racing Green Program's claim that it was offsetting carbon emissions from its V8 Championship Emissions by planting 10,000 native trees.  The ACCC contended that the claim was ambiguous because it failed to state over what time span the carbon emissions would be supposedly nullified.  V8 Supercars acknowledged the ACCC's concerns and agreed to a court enforceable undertaking that it would ensure compliance with the Trade Practices Act 1974 in any of its future ""green marketing"" schemes.",,,,,,,,,,,,,
"Bernhard Seifert v. Colac-Otway Shire Council (Victoria Civil and Administrative Court, 2009)",Australia,AUS,Australia,[2009] VCAT 1453,Adaptation,Proposed amendment to a building permit,,,Buildings,Bernhard Seifert|individual,Colac-Otway Shire Council|government,,25/12/2009|Case opened,An Australia state court approved a permit for the subdivision on land subject to condition that the owner demonstrate how the development will deal with and minimize flood risks  to the satisfaction of the Responsible Authority prior commencing development. The approval was based on two expert reports pertaining to effects of sea level rise due to climate change.,,,,,,,,,,,,,
"Blue Wedges Inc. v. Minister for Environment, Heritage & the Arts (Federal Court of Australia, 2008)",Australia,AUS,Australia,[2008] FCR 399,Adaptation,"<div>Challenge to approval given by Minister for Environment, Heritage and the Arts to deepen shipping channels on grounds that procedure had not been followed as outlined by EPBC Act</div>",,,"Disaster Risk Management (Drm), Environment",Blue Wedges Inc|corporation,"Minister for Environmental, Heritage and the Arts|government",,25/12/2008|Case opened,"<div>Blue Wedges Inc challenged the decision made by the Minister for Environment, Heritage and the Arts to approve the Port of Melbourne Corporation's proposal to deepen the shipping channels in Port Phillip Bay and the Yarra River. Blue Wedges objected to the Minister's process of approval on three grounds: (1) the Minister had not taken into account the principles of ecologically sustainable development while considering the proposal, as required by section 136(2)(a) of the Environment Protection and Biodiversity Conservation (EPBC) Act; (2) the Minister had not adequately informed and consulted all other relevant ministers, including the Minister for Climate Change and Water, who could have a concern with the effect which the channel deepening project might have on sea levels and tidal level changes in the Bay, as required by section 131(1) of the EPBC Act; and (3) the Minister had failed to fully consider the impacts on listed threatened and migratory species as outlined by section 136(1)(a) of the EPBC Act. After thorough review of the claims made by the applicant, the court held that all considerations brought up by the applicant had been adequately met by the Minister in his review prior to issuing the approval for the proposal.</div>",,,,,,,,,,,,,
"Bock v. Moyne SC (Victoria Civil and Administrative Tribunal,  2010)",Australia,AUS,Australia,[2010] VCAT 1905,Adaptation,Approval of permit application without a coastal hazard vulnerability assessment (CHVA),,,Coastal zones,"John Bock, PEMS Pty Ltd|individual",Moyne SC|government,,25/12/2010|Case opened,Applicant sought approval of a planning permit and challenged the local council's request for a coastal hazard vulnerability assessment (CHVA) considering the impact of increased inundation or changing sea level conditions due to climate change prior to permit approval.  The Australia state court found that the council must give the applicant opportunity to demonstrate why a CHVA was not required for the specific review site and take this information into account prior to the Council determining whether a CHVA is required.,,,,,,,,,,,,,
"Bulga Milbrodale Progress Association Inc. v. Minister for Planning & Infrastructure and Warkworth Mining Ltd. (New South Wales Land and Environment Court, 2013)",Australia,AUS,Australia,[2013] NSWLEC 48,Mitigation,To challenge the approval of the extension and continued operation of coal mine due to impacts on biodiversity.,,,Energy,Bulga Milbrodale Progress Association Inc|corporation,Warkworth Mining Limited|corporation,Minister for Planning and Infrastructure|government,,25/12/2013|Case opened,"Plaintiffs appealed the approval of a mining project that would expand a coal mine into areas previously designated as ""non-disturbance areas"" and extend the mining permit for ten years. The court overturned the approval due to significant adverse impacts including reduced biodiversity.  In assessing biodiversity concerns, the court considered vulnerability to climate change.",,,,,,,,,,,,
"Byron Shire Council v. Vaughan; Vaughan v. Byron Shire Council (Land and Environment Court of New South Wales, 2009)",Australia,AUS,Australia,[2009] NSWLEC 110,Adaptation,Application for injunction to prevent the building of a coastal wall,,,Coastal zones,Byron Shire Council|government,Mr and Mrs Vaughan|individual,,25/12/2009|Case opened,"After strong storms and increased coastal erosion, John and Anne Vaughan attempted to rebuild an interim sandbag wall that was previously approved by the city council in a 2001 development consent.  The council sought an injunction from the court preventing the wall from being rebuilt, arguing that the council had a policy of planned retreat and that rebuilding the wall could cause damage to other properties, especially if it was built without the approval of the council. The Vaughan's responded by bringing an action against the council, alleging breach by the council of the 2001 development consent.  The court upheld the council's request and issued an injunction preventing the wall from being rebuilt. The two parties later came to a settlement before the final hearing allowing the Vaughan's to rebuild the wall using geobags and sand as opposed to rocks, which they had initially planned to use.",,,,,,,,,,,,,
"Campbell & Others v. Mornington Peninsula Shire Council (Victoria Civil and Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] VCAT 1457,Adaptation,Challenge of approval of construction permit,,,Residential and Commercial,Campbell & Ors|corporation,Mornington Peninsula SC|government,,25/12/2010|Case opened,"Applicants challenged a redevelopment proposal because of failure to conduct a coastal hazard vulnerability assessment, among other concerns. While affirming the importance of taking a cautious approach to coastal vulnerability issues, an Australian state court found, based on expert testimony, that the proposal did not present any unreasonable coastal vulnerability issues. The court affirmed the local council's approval of the permit subject to certain conditions, including drainage requirements.",,,,,,,,,,,,,
"Carey v. Murrindindi Shire Council (Victorian Civil and Administrative Tribunal, 2011)",Australia,AUS,Australia,[2011] VCAT 76,Adaptation,<div>Consideration of application for a permit to build a community hall in an area with a high risk of bushfire</div>,,,Buildings,Karen Gunter|individual,Murrindindi Shire Council|government,,25/12/2011|Case opened,"<div>At issue in this case was a proposal to build a community hall in an area that was badly burnt by bushfires in February 2009. Citizens objected to the proposal and appealed the Council's decision to grant a permit for the building due to the fire risks associated with the proposal. The Victorian Civil and Administrative Tribunal relied upon the strong community need for the community hall but nevertheless recognized that a prudent approach was needed and that climate change predictions suggested that Victoria would experience more extreme fires in the future. Accordingly, the Tribunal dealt with the risk of loss of life with respect to bushfire risks by imposing conditions on the permit ensuring that the loss of life risks were reduced to a manageable level. For instance, the Tribunal stated that the community hall could not be occupied until an Emergency Management Plan had been prepared by the permit holder.</div>",,,,,,,,,,,,,
"Clean Energy Regulator v. MT Solar Pty. Ltd. (Federal Court of Australia, 2013)",Australia,AUS,Australia,[2013] FCA 205,Mitigation,To impose penalties for providing false information to the government regarding the installation of solar panels and claiming of Renewable Energy Certificates,,Renewable Energy (Electricity) Act 2000 (Cth)|,Energy,Clean Energy Regulator|government,Green Master Building Solutions Pty Ltd|corporation,Barry Eli Kibblewhite|individual,,25/12/2013|Case opened,"This case concerned the penalties to be imposed on an unlicensed electrician, the company which employed him to install solar panels and other related parties.  As the electrician did not have the appropriate accreditation to install the solar panels, the company was not entitled to claim Renewable Energy Certificates (RECs) under the Renewable Energy (Electricity) Act 2000 (Cth).  The federal authority in charge of administering the issuance of RECs, the Clean Energy Regulator, sought civil penalties against the respondents for contravening the Act by providing false information as to the qualifications of the electrician. In discussing the factual background to the case, Justice Foster noted that a state government feed-in tariff offered for renewable energy projects had created significant market pressure for projects to be delivered quickly (the tariff was only available through 2016), and that there had been a shortage of qualified electricians to meet the demand.",,,,,,,,,,,,
"Copley v. Logan City Council & Anor (Queensland Planning and Environment Court, 2012)",Australia,AUS,Australia,[2012] QPEC 39,Adaptation,Challenged of approval of a development application,,,Residential and Commercial,Gregory Charles Copley|individual,Logan City Council|government,,25/12/2012|Case opened,Copley challenged Logan City Council's approval of a development application in an Australian state court asserting that the proposed homes violated the Local Government (Planning and Environment) Act of 1990 because they were impermissibly susceptible to flooding due to the impacts of climate change. The applicants motioned to strike the challenge. The judge denied the motion and permitted a substantive hearing on the issue.,,,,,,,,,,,,,
"David Kettle Consulting v. Gosford City Council (New South Wales Land and Environment Court, 2008)",Australia,AUS,Australia,[2008] NSWLEC 1385,Adaptation,Challenge of permit conditions for water extraction,,,"Adaptation, Water",David Kettle Consulting|corporation,Gosford City Council|government,,25/12/2008|Case opened,"Coca-Cola Amatil (Aust) appealed the conditions placed on a permit for water extraction at a water bottling plant, which restricted the rate of extraction and total extraction levels. The court granted the permit without the conditions through 2011. Taking into account the impacts of climate change on rainfall, the court suggested that the extraction rates and levels should be reevaluated in 2011 using more timely data.",,,,,,,,,,,,,
